date,Time,250-212 µm CaCO3Powder mass (g),212-150 µm CaCO3Powder mass (g),150-125 µm CaCO3Powder mass (g),125-63 µm CaCO3Powder mass (g),63-<63 µm CaCO3Powder mass (g),<-710 µmPellet _mass_(g) ,710-600 µmPellet _mass_(g) ,600-500 µmPellet _mass_(g) ,500-425 µmPellet _mass_(g) ,425-355 µmPellet _mass_(g) ,355-300 µmPellet _mass_(g) ,300-250 µmPellet _mass_(g) ,250-212 µmPellet _mass_(g) ,212-150 µmPellet _mass_(g) ,150-63 µmPellet _mass_(g) ,63-> µmPellet _mass_(g) ,425-355 µmHBr_CaC03_mass_(g) ,355-300 µmHBr_CaC03_mass_(g) ,300-250 µmHBr_CaC03_mass_(g) ,250-212 µmHBr_CaC03_mass_(g) ,212-150 µmHBr_CaC03_mass_(g) ,150-63 µmHBr_CaC03_mass_(g) ,63-> µmHBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner CO2 in(%vol),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calciner CO2 out(%),Calciner O2 out(%),Calciner H2O out(%),Calciner CO out(ppm),Calciner CH4 out(ppm),Run status,Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator outlet CO2 (%vol),Carbonator top temp ( C)
10.01.17,12:14:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,630.36,7.8,3233.5,0.32,0,0,100,449.665,0.398462525,0.28782808,0.004482713,19.06670615,0.20906071,SU,446.87,561.78,2300.5,2.5,0,100,0.0714,531.3
10.01.17,12:15:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,632.75,7.8,3216,0.32,0,40,60,450.68,0.40647893,4.0784144,0.012741417,38.097718,0.23719944,C,446.905,560.105,2680,2.5,0,100,0.0714,529.81
10.01.17,12:16:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,634.72,7.8,3190.5,0.32,0,40,60,451.165,0.372648455,12.279849,0.039626833,27.277778,0.089655223,C,446.2,558.915,2905.5,2.5,0,100,-0.1666,529.27
10.01.17,12:17:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,636.5,7.8,3191.5,0.32,0,40,60,451.365,0.35801084,13.95611,0.013136714,5.5682233,0.000347759,C,445.035,558.565,2912.5,2.5,0,100,-0.2023,529.06
10.01.17,12:18:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,638.22,7.8,3193.5,0.32,0,40,60,453.255,0.36852002,14.168164,0.000762729,2.5084839,0,C,443.9,558.425,2925.5,2.5,0,100,-0.2142,529.13
10.01.17,12:19:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,640.87,7.8,3208,0.32,0,40,60,459.9,0.390544515,12.4632965,0,271.9828377,663.688983,C,443.175,558.24,2942,2.5,0,100,-0.2142,529.07
10.01.17,12:20:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,646.25,7.8,3230,0.32,0,40,60,479.795,0.46157194,9.8933553,0,1399.1962,2604.3811,C,442.21,557.575,2969,2.5,0,100,-0.2142,528.405
10.01.17,12:21:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,661.58,7.8,3224.5,0.32,0,40,60,507.225,0.8425833,6.6435854,0,2357.6803,3807.491,C,440.94,556.34,3002,2.5,0,100,-0.2142,527.465
10.01.17,12:22:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532.9813382,2118.925808,1446.772872,61.93900774,12.99954483,11.47018662,13.38188439,688.88,7.8,3225.5,0.32,0,40,60,518.01,2.71422705,2.636234,2.26829635,3692.5152,3617.5365,C,439.715,555.495,3018.5,2.5,0,100,-0.0357,526.99
10.01.17,12:23:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,711.1,7.8,3208.5,0.32,0,40,60,523.815,4.8441384,1.629551,8.7391848,4853.0968,3120.5966,C,439.19,555.355,3033.5,2.5,0,100,-0.0238,526.97
10.01.17,12:24:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,729.73,7.8,3194,0.32,0,40,60,531.55,5.891211,1.60581335,10.4206535,5166.64225,2449.7166,C,438.915,555.325,3054,2.5,0,100,0.0238,526.93
10.01.17,12:25:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,744.85,7.8,3193.5,0.32,0,40,60,537.24,6.5789507,1.2185253,10.84556,5386.5066,2116.3878,C,438.825,555.6,3066.5,2.5,0,100,-0.0595,527.385
10.01.17,12:26:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,757.31,7.8,3174.5,0.32,0,40,60,541.515,7.0451189,1.7329418,10.945602,5354.5616,1946.2791,C,438.53,555.92,3076.5,2.5,0,100,0.0119,527.49
10.01.17,12:27:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,768.16,7.8,3151,0.32,0,40,60,545.475,7.56785845,2.3473242,10.8065205,4542.8906,1657.6141,C,437.51,554.98,3089.5,2.5,0,100,0.0476,526.44
10.01.17,12:28:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,768.88,7.8,3324.5,0.32,0,40,60,547.87,8.0080925,2.4421401,10.657503,3601.1934,1313.6571,C,435.74,553.51,3074.5,2.5,0,100,0.0238,525.78
10.01.17,12:29:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,749.56,7.8,3366,0.32,0,40,60,554.6,7.8424716,2.5496954,10.745713,3627.5111,1508.1605,C,435.535,552.455,3072,2.5,0,100,-0.0595,526.145
10.01.17,12:30:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,766.23,7.8,3340.5,0.32,0,40,60,556.545,7.3274102,2.7771361,10.763239,3689.56945,1577.2168,C,434.945,550.885,3092,2.5,0,100,-0.1309,525.885
10.01.17,12:31:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,779.34,7.8,3408.5,0.32,0,40,60,566.675,7.4121341,2.7668523,10.592379,3531.2979,1264.0081,C,433.855,549.655,3124,2.5,0,100,-0.1071,526.77
10.01.17,12:32:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622.3191625,2474.098134,1689.279563,72.32116523,15.17851616,13.39280838,15.6249431,787.2,7.8,3378,0.32,0,40,60,569.68,7.9801019,3.056147,10.502114,3372.5408,1070.3607,C,433.335,548.895,3147,2.5,0,100,-0.1666,528.33
10.01.17,12:33:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.2610833,2823.720892,1927.997087,82.5411015,17.32344106,15.28538917,17.83295403,793.29,7.8,3401.5,0.32,0,40,60,571.9,8.92242865,3.24038105,10.4216055,3076.1496,917.802005,C,434.97,548.86,3177.5,2.5,0,100,-0.1309,528.205
10.01.17,12:34:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.2610833,2823.720892,1927.997087,82.5411015,17.32344106,15.28538917,17.83295403,758.76,7.8,3674,0.32,0,40,60,575.105,9.4881232,3.2713134,10.458329,2990.8274,896.6817,C,430.45,546.505,3128,2.5,0,100,-0.0714,529.525
10.01.17,12:35:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.2610833,2823.720892,1927.997087,82.5411015,17.32344106,15.28538917,17.83295403,754.1,7.8,3622.5,0.32,0,40,60,575.325,8.4660129,3.48683105,10.7512165,3473.88145,1290.44555,C,429.815,557.49,3192.5,2.5,0,100,-0.1071,538.565
10.01.17,12:36:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.2610833,2823.720892,1927.997087,82.5411015,17.32344106,15.28538917,17.83295403,768.71,7.8,3587.5,0.32,0,40,60,579.915,7.3839798,3.5297436,10.831934,3943.1545,1502.6608,C,432.72,568.605,3260,2.5,0,100,-0.1309,545.385
10.01.17,12:37:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.2610833,2823.720892,1927.997087,82.5411015,17.32344106,15.28538917,17.83295403,777.02,7.8,3572.5,0.32,0,40,60,581.48,7.4719637,3.4685622,10.727481,4049.7462,1376.9291,C,434.38,572.52,3306.5,2.5,0,100,-0.0952,548.88
10.01.17,12:38:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.2610833,2823.720892,1927.997087,82.5411015,17.32344106,15.28538917,17.83295403,782.83,7.8,3526,0.32,0,40,60,580.865,7.88385875,3.4875143,10.678031,4020.19885,1257.30345,C,434.82,573.585,3359.5,2.5,0,100,-0.1071,551.41
