tot CaCO3Powder mass (g),>212-212 µm CaCO3Powder mass (g),212-150 µm CaCO3Powder mass (g),150-125 µm CaCO3Powder mass (g),125-63 µm CaCO3Powder mass (g),63-<63 µm CaCO3Powder mass (g),tot CaCO3Pellet _mass_(g) ,<-710 µmPellet _mass_(g) ,710-600 µmPellet _mass_(g) ,600-500 µmPellet _mass_(g) ,500-425 µmPellet _mass_(g) ,425-355 µmPellet _mass_(g) ,355-300 µmPellet _mass_(g) ,300-250 µmPellet _mass_(g) ,250-212 µmPellet _mass_(g) ,212-150 µmPellet _mass_(g) ,150-63 µmPellet _mass_(g) ,63-> µmPellet _mass_(g) ,tot HBr_CaC03_mass_(g) ,<-710 µmHBr_CaC03_mass_(g) ,710-600 µmHBr_CaC03_mass_(g) ,600-500 µmHBr_CaC03_mass_(g) ,500-425 µmHBr_CaC03_mass_(g) ,425-355 µmHBr_CaC03_mass_(g) ,355-300 µmHBr_CaC03_mass_(g) ,300-250 µmHBr_CaC03_mass_(g) ,250-212 µmHBr_CaC03_mass_(g) ,212-150 µmHBr_CaC03_mass_(g) ,150-63 µmHBr_CaC03_mass_(g) ,63-> µmHBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner CO2 in(%vol),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calcinator CO2 out(%),Calcinator CO out(ppm),Calcinator CH4 out(ppm),Calcinator O2 out(%),Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator top temp ( C),Carbonator outlet CO2 (%vol)
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,1469,0,0,0,0,187.569537,747.6937963,506.1249074,17.41037037,1.632222222,1.904259259,4.760648148,939.51,7.4,2237.5,0.3,0,40,60,634.12,4.6328768,2257.18315,3375.3625,0.09200613,451.675,559.26,4260,2.5,0,100,536.525,-2.52
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,1469,0,0,0,0,187.569537,747.6937963,506.1249074,17.41037037,1.632222222,1.904259259,4.760648148,952.52,7.4,2250.5,0.3,0,40,60,618.38,4.6763091,1772.8355,3106.698,0.89629194,454.455,559.22,4234.5,2.5,0,100,535.645,-2.54
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,1469,0,0,0,0,187.569537,747.6937963,506.1249074,17.41037037,1.632222222,1.904259259,4.760648148,943.29,7.4,2736.5,0.3,0,40,60,611.295,5.00631765,1050.58434,1750.40375,5.7662926,453.53,557.575,4324.5,2.5,0,100,533.55,-2.57
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,1469,0,0,0,0,187.569537,747.6937963,506.1249074,17.41037037,1.632222222,1.904259259,4.760648148,781.86,7.4,2879.5,0.3,0,40,60,617.92,5.8776083,414.40547,767.29695,6.7989958,453.785,558.53,4395,2.5,0,100,534.625,-2.59
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,1469,0,0,0,0,187.569537,747.6937963,506.1249074,17.41037037,1.632222222,1.904259259,4.760648148,768.91,7.4,2809,0.3,0,40,60,629.185,6.509284,737.77991,816.70923,3.6529773,459.81,561.36,4557,2.5,0,100,540.415,-2.59
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,1469,0,0,0,0,187.569537,747.6937963,506.1249074,17.41037037,1.632222222,1.904259259,4.760648148,810.4,7.4,2714.5,0.3,0,40,60,632.69,7.1416058,1895.7983,1752.15225,1.5011047,468.865,565.825,4693,2.5,0,100,546.31,-2.49
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,1469,0,0,0,0,187.569537,747.6937963,506.1249074,17.41037037,1.632222222,1.904259259,4.760648148,824.3,7.4,2648.5,0.3,0,40,60,637.33,9.7410841,2925.6031,2863.8689,0.88632595,474.655,568.425,4785.5,2.5,0,100,549.325,-2.19
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,1469,0,0,0,0,187.569537,747.6937963,506.1249074,17.41037037,1.632222222,1.904259259,4.760648148,828.52,7.4,2865,0.3,0,40,60,632.245,11.5262475,3272.75295,3010.55835,0.743110535,479.645,569.535,4766.5,2.5,0,100,550.785,-2.5
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,775.39,7.4,3231.5,0.3,0,40,60,636.23,10.832921,3500.5016,2601.3437,0.81627642,485.22,567.775,4793.5,2.5,0,100,551.305,-2.54
0,0,0,0,0,0,6356,2399.912046,1706.306893,1676.00773,469.5005368,90.3515568,-0.545930857,2.456688855,-2.729654284,1.091861714,1.910757999,2.456688855,2899,0,0,0,0,370.1593519,1475.537315,998.8128704,34.35851852,3.221111111,3.757962963,9.394907407,713.68,7.4,3144.5,0.3,0,40,60,643.705,8.4711935,3363.0755,2872.269,0.96937173,492.425,567.025,4979,2.5,0,100,554.695,-2.53
