Duration,HBr_CaC03_mass_(g) ,Calciner temp [°C],Calciner Heater kW,Calciner Pressure ( Pa ),Calciner  velocity (m/s),Calciner O2 in(%vol),Calciner N2 in(%vol),Calciner top temp ( °C ),Calciner CO2 out(%),Calciner O2 out(%),Calciner H2O out(%),Calciner CO out(ppm),Calciner CH4 out(ppm),Run status,Carbonator bottom temp ( C),Carbonator mid temp ( C),Carbonator press (pa),Carbonator velocity (m/s),Carbonator inlet CO2 (%vol),Carbonator inlet N2 (%vol),Carbonator outlet CO2 (%vol),Carbonator top temp ( C),Rank
1,4200,632.75,7.8,3216,0.32,40,60,450.68,0.40647893,4.0784144,0.012741417,38.097718,0.23719944,0,446.905,560.105,2680,2.5,0,100,0.0714,529.81,1
2,4200,634.72,7.8,3190.5,0.32,40,60,451.165,0.372648455,12.279849,0.039626833,27.277778,0.089655223,0,446.2,558.915,2905.5,2.5,0,100,-0.1666,529.27,1
3,4200,636.5,7.8,3191.5,0.32,40,60,451.365,0.35801084,13.95611,0.013136714,5.5682233,0.000347759,0,445.035,558.565,2912.5,2.5,0,100,-0.2023,529.06,1
4,4200,638.22,7.8,3193.5,0.32,40,60,453.255,0.36852002,14.168164,0.000762729,2.5084839,0,0,443.9,558.425,2925.5,2.5,0,100,-0.2142,529.13,1
5,4200,640.87,7.8,3208,0.32,40,60,459.9,0.390544515,12.4632965,0,271.9828377,663.688983,0,443.175,558.24,2942,2.5,0,100,-0.2142,529.07,1
6,4200,646.25,7.8,3230,0.32,40,60,479.795,0.46157194,9.8933553,0,1399.1962,2604.3811,0,442.21,557.575,2969,2.5,0,100,-0.2142,528.405,1
7,4200,661.58,7.8,3224.5,0.32,40,60,507.225,0.8425833,6.6435854,0,2357.6803,3807.491,0,440.94,556.34,3002,2.5,0,100,-0.2142,527.465,1
8.01,4200,688.88,7.8,3225.5,0.32,40,60,518.01,2.71422705,2.636234,2.26829635,3692.5152,3617.5365,0,439.715,555.495,3018.5,2.5,0,100,-0.0357,526.99,1
9.01,4904,711.1,7.8,3208.5,0.32,40,60,523.815,4.8441384,1.629551,8.7391848,4853.0968,3120.5966,0,439.19,555.355,3033.5,2.5,0,100,-0.0238,526.97,1
10.01,4904,729.73,7.8,3194,0.32,40,60,531.55,5.891211,1.60581335,10.4206535,5166.64225,2449.7166,0,438.915,555.325,3054,2.5,0,100,0.0238,526.93,1
11.01,4904,744.85,7.8,3193.5,0.32,40,60,537.24,6.5789507,1.2185253,10.84556,5386.5066,2116.3878,0,438.825,555.6,3066.5,2.5,0,100,-0.0595,527.385,1
12.01,4904,757.31,7.8,3174.5,0.32,40,60,541.515,7.0451189,1.7329418,10.945602,5354.5616,1946.2791,0,438.53,555.92,3076.5,2.5,0,100,0.0119,527.49,1
13.01,4904,768.16,7.8,3151,0.32,40,60,545.475,7.56785845,2.3473242,10.8065205,4542.8906,1657.6141,0,437.51,554.98,3089.5,2.5,0,100,0.0476,526.44,2
14.01,4904,768.88,7.8,3324.5,0.32,40,60,547.87,8.0080925,2.4421401,10.657503,3601.1934,1313.6571,0,435.74,553.51,3074.5,2.5,0,100,0.0238,525.78,2
15.02,4904,749.56,7.8,3366,0.32,40,60,554.6,7.8424716,2.5496954,10.745713,3627.5111,1508.1605,0,435.535,552.455,3072,2.5,0,100,-0.0595,526.145,2
16.02,4904,766.23,7.8,3340.5,0.32,40,60,556.545,7.3274102,2.7771361,10.763239,3689.56945,1577.2168,0,434.945,550.885,3092,2.5,0,100,-0.1309,525.885,2
17.02,4904,779.34,7.8,3408.5,0.32,40,60,566.675,7.4121341,2.7668523,10.592379,3531.2979,1264.0081,0,433.855,549.655,3124,2.5,0,100,-0.1071,526.77,2
18.02,4904,787.2,7.8,3378,0.32,40,60,569.68,7.9801019,3.056147,10.502114,3372.5408,1070.3607,0,433.335,548.895,3147,2.5,0,100,-0.1666,528.33,2
19.02,5597,793.29,7.8,3401.5,0.32,40,60,571.9,8.92242865,3.24038105,10.4216055,3076.1496,917.802005,0,434.97,548.86,3177.5,2.5,0,100,-0.1309,528.205,2
20.02,5597,758.76,7.8,3674,0.32,40,60,575.105,9.4881232,3.2713134,10.458329,2990.8274,896.6817,0,430.45,546.505,3128,2.5,0,100,-0.0714,529.525,2
21.02,5597,754.1,7.8,3622.5,0.32,40,60,575.325,8.4660129,3.48683105,10.7512165,3473.88145,1290.44555,0,429.815,557.49,3192.5,2.5,0,100,-0.1071,538.565,2
22.02,5597,768.71,7.8,3587.5,0.32,40,60,579.915,7.3839798,3.5297436,10.831934,3943.1545,1502.6608,0,432.72,568.605,3260,2.5,0,100,-0.1309,545.385,2
23.03,5597,777.02,7.8,3572.5,0.32,40,60,581.48,7.4719637,3.4685622,10.727481,4049.7462,1376.9291,0,434.38,572.52,3306.5,2.5,0,100,-0.0952,548.88,2
24.03,5597,782.83,7.8,3526,0.32,40,60,580.865,7.88385875,3.4875143,10.678031,4020.19885,1257.30345,0,434.82,573.585,3359.5,2.5,0,100,-0.1071,551.41,2
25.03,5597,788.05,7.8,3490.5,0.32,40,60,584.04,8.3926196,3.5297436,10.541056,3765.6444,1148.7318,0,433.93,571.91,3408,2.5,0,100,-0.1309,550.58,2
26.03,7034,790.77,7.8,3641,0.32,40,60,592.535,8.98094065,3.49525985,10.4518815,3411.5939,1025.66165,0,435.415,571.22,3474,2.5,0,100,-0.1071,549.4,2
27.03,7034,726.49,7.8,4015,0.32,40,60,582.275,8.6258431,3.5258099,10.580276,3666.3725,1629.4925,0,452.315,567.445,3606.5,2.5,0,100,-0.1309,555.505,2
